Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_out,CO2ppm,CH4ppm,N2Oppm,RerunCO2,RerunCH4,RerunN2O,Reruns,Flagged
66A15 ,66A,12/Jun/18,2B,17.8,17.9,4556.948191,41.33010658,0.2432147961,,,,,
66C11 ,66C,12/Jun/18,Atm,,,421.1899115,1.857815369,0.2900381538,,,,,
66C12 ,66C,12/Jun/18,1A,17.2,17,952.1714903,207.6923975,0.2504581504,,,,,
66C13 ,66C,12/Jun/18,1B,17.2,17,952.9058557,206.2836446,0.2554766465,,,,,
66C14 ,66C,12/Jun/18,2A,17.2,17.2,945.6206511,206.552672,0.2495951383,,,,,
66C15 ,66C,12/Jun/18,2B,17.2,17.2,950.7801309,205.8417813,0.2531117962,,,,,
62E11 ,62E,16/Jul/18,Atm,,,416.899,1.871,0.315,,,,,
62E12 ,62E,16/Jul/18,1A,21.1,21.4,1759.939,312.719,0.524,,,,,
62E13 ,62E,16/Jul/18,1B,21.1,21.4,1811.941,314.127,0.524,,,,,
62E14 ,62E,16/Jul/18,2A,21.1,21.5,1738.713,319.694,0.526,,,,,
62E15 ,62E,16/Jul/18,2B,21.1,21.5,1764.368,322.246,0.523,,,,,
68-11 ,68,13/Jul/18,Atm,,,452.496,1.994,0.318,,,,,
68-12 ,68,13/Jul/18,1A,25.8,28.3,142.922,1988.943,0.159,,,,,
68-13 ,68,13/Jul/18,1B,25.8,28.3,185.513,1983.482,0.16,,,,,
68-14 ,68,13/Jul/18,2A,25.8,27.7,328.842,1458.83,0.221,,,,,
68-15 ,68,13/Jul/18,2B,25.8,27.7,230.326,2646.09,0.151,,,,,
14B11 ,14B,13/Jul/18,Atm,,,441.295,2.062,0.314,,,,,
14B12 ,14B,13/Jul/18,1A,23,23.1,434.956,168.171,0.472,,,,,
14B13 ,14B,13/Jul/18,1B,23,23.1,468.147,165.891,0.467,,,,,
14B14 ,14B,13/Jul/18,2A,23,22.9,442.41,83.598,0.385,444.461904,75.79751933,0.3882510591,,
14B15 ,14B,13/Jul/18,2B,23,22.9,421.794,175.235,0.469,,,,,
14A11 ,14A,13/Jul/18,Atm,,,461.08,3.531,0.327,,,,,
14A12 ,14A,13/Jul/18,1A,21.4,22,1896.469,125.126,10.558,,,,,
14A13 ,14A,13/Jul/18,1B,21.4,22,1107.007,57.991,4.269,1045.936066,53.21134681,3.671162571,,
14A14 ,14A,13/Jul/18,2A,21.4,22.6,1240.154,54.674,3.589,1228.030019,54.14292518,3.40693335,,
14A15 ,14A,13/Jul/18,2B,21.4,22.6,1794.769,100.968,6.734,,,,,
32B11 ,32B,12/Jul/18,Atm,,,447.1632574,2.13716866,0.2906681816,,,,,
32B12 ,32B,12/Jul/18,1A,21.3,22.6,212.6079333,260.2828598,0.2850149471,,,,,
32B13 ,32B,12/Jul/18,1B,21.3,22.6,268.3759551,188.3532826,0.2866891972,,,,,
32B14 ,32B,12/Jul/18,2A,21.3,22.7,372.8806696,139.1970391,0.283903855,,,,,
32B15 ,32B,12/Jul/18,2B,21.3,22.7,366.8039328,160.3784767,0.2829583835,,,,,
32A11 ,32A,12/Jul/18,Atm,,,416.5013823,2.047293875,0.2963461056,,,,,
32A12 ,32A,12/Jul/18,1A,21.9,22.3,463.9862152,88.38248421,0.2857786689,,,,,
32A13 ,32A,12/Jul/18,1B,21.9,22.3,461.5511459,74.31350531,0.2837749798,,,,,
32A14 ,32A,12/Jul/18,2A,21.9,22.2,451.7532135,76.49044963,0.2822917607,,,,,
32A15 ,32A,12/Jul/18,2B,21.9,22.2,556.4967887,81.69086113,0.2836307728,,,,,
32C11 ,32C,12/Jul/18,Atm,,,459.9774263,2.015566615,0.2880961064,,,,,
32C12 ,32C,12/Jul/18,1A,21.3,21.1,168.6570032,219.5171754,0.2741084423,,,,,
32C13 ,32C,12/Jul/18,1B,21.3,21.1,190.8601453,217.4599395,0.2776593905,,,,,
32C14 ,32C,12/Jul/18,2A,21.3,21.1,291.5191332,104.5213696,0.2851277379,,,,,
32C15 ,32C,12/Jul/18,2B,21.3,21.1,285.4922067,123.8769587,0.2826835559,,,,,
23-16 ,23,12/Jul/18,Atm,,,520.4086578,1.958422359,0.2993501633,,,,,
23-17 ,23,12/Jul/18,1A,21.8,25.4,77.806574,294.7973914,0.2281781075,,,,,
23-18 ,23,12/Jul/18,1B,21.8,25.4,50.77031097,294.4964604,0.2295717836,,,,,
23-19 ,23,12/Jul/18,2A,21.8,25.2,63.14511136,63.50980715,0.2184798229,,,,,
23-20 ,23,12/Jul/18,2B,21.8,25.2,69.85919278,63.14767878,0.2209956053,,,,,
4D16 ,4D,11/Jul/18,Atm,,,409.1005979,1.843120183,0.2949992348,,,,,
4D17 ,4D,11/Jul/18,1A,21.6,22.3,109.0313091,627.5424571,0.2859093989,,,,,
4D18 ,4D,11/Jul/18,1B,21.6,22.3,108.5604987,634.8154868,0.2854468891,,,,,
4D19 ,4D,11/Jul/18,2A,21.6,22,102.4672769,695.6050408,0.2900144725,,,,,
4D20 ,4D,11/Jul/18,2B,21.6,22,95.08672946,693.2274761,0.2873675074,,,,,
4C11 ,4C,11/Jul/18,Atm,,,404.9420867,1.878895038,0.2907149779,,,,,
4C12 ,4C,11/Jul/18,1A,21.1,22,88.09374204,183.2634089,0.2614135162,,,,,
4C13 ,4C,11/Jul/18,1B,21.1,22,191.9288855,117.9522582,0.2669710007,,,,,
4C14 ,4C,11/Jul/18,2A,21.1,22,43.76615893,393.2713557,0.2601716155,,,,,
4C15 ,4C,11/Jul/18,2B,21.1,22,53.87151769,394.3466135,0.2596900975,,,,,
56A11 ,56A,11/Jul/18,Atm,,,451.600861,1.956863154,0.2929644916,,,,,
56A12 ,56A,11/Jul/18,1A,21.7,23,412.3366946,1.995027341,0.2910754535,430.4873253,2.174606689,0.331304947,REMOVE,
56A13 ,56A,11/Jul/18,1B,21.7,23,382.7086913,8.819484894,0.2865550992,400.5550375,8.960688726,0.311416056,,
56A14 ,56A,11/Jul/18,2A,21.7,22.8,403.4377759,1.952102018,0.2908227591,436.8924383,2.023812327,0.3336267436,REMOVE,
56A15 ,56A,11/Jul/18,2B,21.7,22.8,368.9498125,21.78263708,0.3080232772,,,,,
56B11 ,56B,11/Jul/18,Atm,,,429.8335631,1.951733862,0.2866284424,,,,,
56B12 ,56B,11/Jul/18,1A,22.2,23,733.7866344,42.18959079,0.2546588919,,,,,
56B13 ,56B,11/Jul/18,1B,22.2,23,830.5625263,55.61948887,0.2501523892,,,,,
56B14 ,56B,11/Jul/18,2A,22.2,22.6,803.3938621,55.3649413,0.2463974425,,,,,
56B15 ,56B,11/Jul/18,2B,22.2,22.6,804.7567047,55.52871593,0.2510167698,,,,,
61C11 ,61C,10/Jul/18,Atm,,,430.507,1.894,0.297,,,,,
61C12 ,61C,10/Jul/18,1A,22.4,24,118.4043294,302.2307387,0.2751517528,,,,,
61C13 ,61C,10/Jul/18,1B,22.4,24,150.514,313.614,0.286,,,,,
61C14 ,61C,10/Jul/18,2A,22.4,24.2,76.047,258.086,0.294,,,,,
61C15 ,61C,10/Jul/18,2B,22.4,24.2,488.575,2.19,0.315,483.2719741,2.312432597,0.3324408844,REMOVE,
61B11 ,61B,10/Jul/18,Atm,,,446.6942226,1.991620705,0.2906991418,,,,,
61B12 ,61B,10/Jul/18,1A,22.4,21.6,925.085,39.069,0.478,911.4736439,38.17265449,0.4760605288,REMOVE,
61B13 ,61B,10/Jul/18,1B,22.4,21.6,1308.224008,73.66766702,0.6047396704,,,,,
61B14 ,61B,10/Jul/18,2A,22.4,21.7,1276.494179,66.90886468,0.6050679689,,,,,
61B15 ,61B,10/Jul/18,2B,22.4,21.7,1165.395,60.697,0.611,,,,,
62C11 ,62C,10/Jul/18,Atm,,,446.3519429,1.96344911,0.2896388262,,,,,
62C12 ,62C,10/Jul/18,1A,21.9,22,503.3655612,2208.593299,0.2987066629,,,,,
62C13 ,62C,10/Jul/18,1B,21.9,22,463.6231689,1588.072188,0.2970575869,,,,,
62C14 ,62C,10/Jul/18,2A,21.9,22.2,475.0087005,2522.713654,0.2904416157,,,,,
62C15 ,62C,10/Jul/18,2B,21.9,22.2,800.6435847,1371.949668,0.2868925877,,,,,
62B11 ,62B,10/Jul/18,Atm,,,415.7431312,9.552962969,0.299480473,,,,,
62B12 ,62B,10/Jul/18,1A,21.5,20.6,745.3640112,813.2386466,0.3349747554,,,,,
62B13 ,62B,10/Jul/18,1B,21.5,20.6,647.0744921,616.684161,0.3272909091,,,,,
62B14 ,62B,10/Jul/18,2A,21.5,20.7,608.8317628,447.0931804,0.3141610971,,,,,
62B15 ,62B,10/Jul/18,2B,21.5,20.7,606.8290619,428.392222,0.3197619984,,,,,
66A16 ,66A,9/Jul/18,Atm,,,407.707,1.92,0.312,,,,,
66A17 ,66A,9/Jul/18,1A,24.8,23,540.5178267,174.8410296,0.229621723,,,,,
66A18 ,66A,9/Jul/18,1B,24.8,23,546.915835,174.8437014,0.2303734723,,,,,
66A19 ,66A,9/Jul/18,2A,24.8,22.9,538.9541414,166.4125733,0.2327197922,,,,,
66A20 ,66A,9/Jul/18,2B,24.8,22.9,532.1214766,168.2148428,0.2288453433,,,,,
66C16 ,66C,9/Jul/18,Atm,,,410.4299055,2.987488259,0.2976371791,,,,,
66C17 ,66C,9/Jul/18,1A,23.6,23.5,206.8398967,691.4160734,0.2499976001,,,,,
66C18 ,66C,9/Jul/18,1B,23.6,23.5,170.4258358,684.633366,0.2502804873,,,,,
66C19 ,66C,9/Jul/18,2A,23.6,23.3,160.9108556,704.2912009,0.2513000769,,,,,
66C20 ,66C,9/Jul/18,2B,23.6,23.3,161.2585373,702.8808029,0.251780874,,,,,
66B11 ,66B,9/Jul/18,Atm,,,407.1755205,2.061636149,0.2894361884,,,,,
66B12 ,66B,9/Jul/18,1A,21.8,21.8,410.951885,1.874551308,0.291737588,436.8196897,2.052824726,0.3314184663,REMOVE,
66B13 ,66B,9/Jul/18,1B,21.8,21.8,255.6219701,134.1167343,0.2669340354,1407.582811,67.3257672,0.2530148214,,
66B14 ,66B,9/Jul/18,2A,21.8,22.3,188.832342,179.7089261,0.2691219858,,,,,
66B15 ,66B,9/Jul/18,2B,21.8,22.3,185.6557979,180.3797627,0.268934106,,,,,
4A16 ,4A,9/Jul/18,Atm,,,433.4389029,1.985887929,0.3003945228,,,,,
4A17 ,4A,9/Jul/18,1A,24.9,25,158.4311286,682.9154601,0.2784157611,,,,,
4A18 ,4A,9/Jul/18,1B,24.9,25,163.0733768,681.83392,0.281125863,,,,,
4A19 ,4A,9/Jul/18,2A,24.9,25.3,164.5672338,658.3254845,0.275432455,,,,,
4A20 ,4A,9/Jul/18,2B,24.9,25.3,158.7922447,661.5100047,0.2784053774,,,,,
66C21,66C,9/Aug/18,Atm,,,422.7465123,2.005705984,0.3110682058,,,,,
66C22,66C,9/Aug/18,1A,21.8,,325.1433315,238.799527,0.2554976082,,,,,
66C23,66C,9/Aug/18,1B,21.8,,333.437738,239.2599534,0.254439445,,,,,
66C24,66C,9/Aug/18,2A,21.8,,389.2262677,221.1798214,0.2601594566,,,,,
66C25,66C,9/Aug/18,2B,21.8,,392.5021486,217.0248282,0.2626930242,,,,,
66A21,66A,9/Aug/18,Atm,,,419.2496727,2.005993755,0.316725057,,,,,
66A22,66A,9/Aug/18,1A,23,23,2274.394029,127.300791,0.2252963292,,,,,
66A23,66A,9/Aug/18,1B,23,23,2389.38072,129.1370497,0.2246744588,,,,,
66A24,66A,9/Aug/18,2A,23,22.5,2022.945161,114.448659,0.1794407936,,,,,
66A25,66A,9/Aug/18,2B,23,22.5,1424.886505,69.12475161,0.2309509307,1407.582811,67.3257672,0.2530148214,REMOVE,
23-21,23,9/Aug/18,Atm,,,430.8972595,1.896763871,0.3090231924,,,,,
23-22,23,9/Aug/18,1A,26.1,24.1,102.7610276,116.6819814,0.2222026102,,,,,
23-23,23,9/Aug/18,1B,26.1,24.1,91.50881574,108.3358288,0.2247463464,,,,,
23-24,23,9/Aug/18,2A,26.1,24,221.7517826,86.03516725,0.248690269,233.3907212,83.86922036,0.2697914819,REMOVE,
23-25,23,9/Aug/18,2B,26.1,24,55.06859172,137.211682,0.2245311235,,,,,
4A21,4A,8/Aug/18,Atm,,,463.3236311,2.120261941,0.3185151058,,,,,
4A22,4A,8/Aug/18,1A,20.5,20.1,134.1972007,622.3222824,0.281993266,,,,,
4A23,4A,8/Aug/18,1B,20.5,20.1,128.5453652,621.8617626,0.2882444242,,,,,
4A24,4A,8/Aug/18,2A,20.5,20.1,172.1583661,661.1660654,0.2772129355,,,,,
4A25,4A,8/Aug/18,2B,20.5,20.1,116.8029968,661.5235342,0.2770753039,,,,,
4C21,4C,8/Aug/18,Atm,,,446.667231,5.31052532,0.3072800093,,,,,
4C22,4C,8/Aug/18,1A,20.4,20.3,474.6636924,2.191181887,0.3059370454,,,,,
4C23,4C,8/Aug/18,1B,20.4,20.3,561.0767346,89.60773999,0.3009906766,,,,,
4C24,4C,8/Aug/18,2A,20.4,20.7,526.4921192,87.23236363,0.294579769,,,,,
4C25,4C,8/Aug/18,2B,20.4,20.7,575.9895988,135.7283686,0.3028585322,,,,,
23-26,23,27/Sep/18,Atm,,,455.8154837,2.117428595,0.3002455144,,,,,
23-27,23,27/Sep/18,1A,7.6,7.2,362.2493547,30.17615587,0.2750300935,,,,,
23-28,23,27/Sep/18,1B,7.6,7.2,95.50645907,46.93118092,0.2740967409,,,,,
23-29,23,27/Sep/18,2A,7.6,7,91.66046281,48.62941129,0.2744996127,,,,,
23-30,23,27/Sep/18,2B,7.6,7,218.292774,29.00144577,0.2729220868,,,,,
32B21,32B,27/Sep/18,Atm,,,442.6316377,2.141493176,0.3105293872,,,,,
32B22,32B,27/Sep/18,1A,6.7,6.5,342.5849462,39.09414223,0.5402534051,,,,,
32B23,32B,27/Sep/18,1B,6.7,6.5,335.8853987,39.30233317,0.5485556434,,,,,
32B24,32B,27/Sep/18,2A,6.7,6.5,477.5244925,50.24934983,0.4223272254,,,,,
32B25,32B,27/Sep/18,2B,6.7,6.5,317.9225291,41.31409963,0.5513147131,,,,,
32A21,32A,27/Sep/18,Atm,,,452.4926063,2.00948292,0.3159365888,,,,,
32A22,32A,27/Sep/18,1A,6.5,5.7,387.5625706,367.4193418,0.2892754657,,,,,
32A23,32A,27/Sep/18,1B,6.5,5.7,356.5891607,612.8734515,0.2967866424,,,,,
32A24,32A,27/Sep/18,2A,6.5,5.7,323.8087314,600.6041308,0.2796231865,,,,,
32A25,32A,27/Sep/18,2B,6.5,5.7,335.3440762,602.4229929,0.2802782063,,,,,
32C21,32C,27/Sep/18,Atm,,,427.9271811,2.020497271,0.3015329662,,,,,
32C22,32C,27/Sep/18,1A,6.4,5.1,#N/A,#N/A,#N/A,,,,,
32C23,32C,27/Sep/18,1B,6.4,5.1,129.1916472,35.87292624,0.2869863311,,,,,
32C24,32C,27/Sep/18,2A,6.4,5.1,279.8314556,18.35891354,0.287711006,,,,,
32C25,32C,27/Sep/18,2B,6.4,5.1,138.1317077,34.9028702,0.287573267,,,,,
56A21,56A,26/Sep/18,Atm,,,441.5649478,1.981603459,0.3125245695,,,,,
56A22,56A,26/Sep/18,1A,7.8,8.1,325.5390013,6.867714552,0.3173304038,,,,,
56A23,56A,26/Sep/18,1B,7.8,8.1,318.0757367,6.619751111,0.3106729774,,,,,
56A24,56A,26/Sep/18,2A,7.8,8.7,330.6598164,6.402050954,0.3075393525,,,,,
56A25,56A,26/Sep/18,2B,7.8,8.7,334.6577457,6.716353517,0.3114213763,,,,,
56B21,56B,26/Sep/18,Atm,,,434.4183915,2.582745627,0.310821612,,,,,
56B22,56B,26/Sep/18,1A,7.1,7.2,75.96954278,14.5570935,0.2883062545,,,,,
56B23,56B,26/Sep/18,1B,7.1,7.2,80.46463186,13.80510901,0.2888428044,,,,,
56B24,56B,26/Sep/18,2A,7.1,7.1,94.02959824,13.14398023,0.2748362115,,,,,
56B25,56B,26/Sep/18,2B,7.1,7.1,#N/A,#N/A,#N/A,,,,,
4D26,4D,26/Sep/18,Atm,,,439.4694429,1.936385789,0.3113202189,,,,,
4D27,4D,26/Sep/18,1A,7.5,9,242.5451263,170.5928308,0.2775766356,,,,,
4D28,4D,26/Sep/18,1B,7.5,9,242.4424453,173.1492528,0.2803726603,,,,,
4D29,4D,26/Sep/18,2A,7.5,9,205.2719923,166.954622,0.2748135246,,,,,
4D30,4D,26/Sep/18,2B,7.5,9,191.1569062,174.332757,0.27511789,,,,,
4C21,4C,26/Sep/18,Atm,,,446.667231,5.31052532,0.3072800093,,,,,
4C22,4C,26/Sep/18,1A,8.9,9.5,474.6636924,2.191181887,0.3059370454,,,,,
4C23,4C,26/Sep/18,1B,8.9,9.5,561.0767346,89.60773999,0.3009906766,,,,,
4C24,4C,26/Sep/18,2A,8.9,9.2,526.4921192,87.23236363,0.294579769,,,,,
4C25,4C,26/Sep/18,2B,8.9,9.2,575.9895988,135.7283686,0.3028585322,,,,,
61C21,61C,25/Sep/18,Atm,,,428.9761921,2.013473719,0.305960502,,,,,
61C22,61C,25/Sep/18,1A,6.8,7.4,646.665873,93.11127328,0.3022601409,,,,,
61C23,61C,25/Sep/18,1B,6.8,7.4,662.7913139,93.22641312,0.31265763,,,,,
61C24,61C,25/Sep/18,2A,6.8,7.2,630.7898641,57.83121138,0.3023256269,,,,,
61C25,61C,25/Sep/18,2B,6.8,7.2,613.7347422,52.95049255,0.3008831493,,,,,
61B21,61B,25/Sep/18,Atm,,,441.8542292,2.035652928,0.3102887702,,,,,
61B22,61B,25/Sep/18,1A,6.3,7,789.7543519,27.93653414,0.461173018,,,,,
61B23,61B,25/Sep/18,1B,6.3,7,781.5933678,28.19438651,0.4582436135,,,,,
61B24,61B,25/Sep/18,2A,6.3,7.2,630.1002161,17.51030867,0.372610111,,,,,
61B25,61B,25/Sep/18,2B,6.3,7.2,731.0865102,26.80110849,0.4247652317,,,,,
62E21,62E,25/Sep/18,Atm,,,439.9121864,2.040534388,0.3101788609,,,,,
62E22,62E,25/Sep/18,1A,8.2,7.9,1501.912226,95.77426851,0.6198253776,,,,,
62E23,62E,25/Sep/18,1B,8.2,7.9,1501.628299,95.46911813,0.6147310809,,,,,
62E24,62E,25/Sep/18,2A,8.2,7.8,1501.54842,100.211026,0.7843471732,,,,,
62E25,62E,25/Sep/18,2B,8.2,7.8,1469.583515,95.33457699,0.5987258828,,,,,
62C21,62C,25/Sep/18,Atm,,,474.3169108,2.203410456,0.8778559414,,,,,
62C22,62C,25/Sep/18,1A,7.8,8.2,179.1846482,83.82748839,0.2620781204,,,,,
62C23,62C,25/Sep/18,1B,7.8,8.2,193.526488,84.10208967,0.2633241291,,,,,
62C24,62C,25/Sep/18,2A,7.8,8.4,188.3766258,77.37940843,0.2596684312,,,,,
62C25,62C,25/Sep/18,2B,7.8,8.4,189.7626143,77.68959632,0.2659021831,,,,,
62B21,62B,25/Sep/18,Atm,,,431.2105138,2.204040277,0.3011934168,,,,,
62B22,62B,25/Sep/18,1A,7.3,6.7,503.6260614,177.1893545,0.2780995382,,,,,
62B23,62B,25/Sep/18,1B,7.3,6.7,546.9585025,176.3649086,0.2844627811,,,,,
62B24,62B,25/Sep/18,2A,7.3,6.6,496.7997314,178.5337197,0.2743522804,,,,,
62B25,62B,25/Sep/18,2B,7.3,6.6,558.8003162,108.8574005,0.2862532712,,,,,
4A26,4A,24/Sep/18,Atm,,,434.1083901,2.111209422,0.3061499828,,,,,
4A27,4A,24/Sep/18,1A,6.4,5.8,550.8213064,214.5112176,0.2723197086,,,,,
4A28,4A,24/Sep/18,1B,6.4,5.8,544.3214599,214.2100462,0.2731491034,,,,,
4A29,4A,24/Sep/18,2A,6.4,5.6,558.0850248,131.4275917,0.274592644,,,,,
4A30,4A,24/Sep/18,2B,6.4,5.6,589.3351602,212.2842593,0.2682723611,,,,,
66A26,66A,24/Sep/18,Atm,,,443.457802,1.977217314,0.3094072171,,,,,
66A27,66A,24/Sep/18,1A,6.5,6.2,2384.572091,70.96505602,0.2157581664,,,,,
66A28,66A,24/Sep/18,1B,6.5,6.2,2380.489236,70.5674835,0.2224887921,,,,,
66A29,66A,24/Sep/18,2A,6.5,6.2,2332.352442,74.97390195,0.2197080209,,,,,
66A30,66A,24/Sep/18,2B,6.5,6.2,2365.299458,75.75741694,0.2207396716,,,,,
66C26,66C,24/Sep/18,Atm,,,435.1435785,2.072074785,0.3074686851,,,,,
66C27,66C,24/Sep/18,1A,6.4,5.6,687.6603082,172.5180553,0.27238877,,,,,
66C28,66C,24/Sep/18,1B,6.4,5.6,697.2030415,172.1905715,0.2761027669,,,,,
66C29,66C,24/Sep/18,2A,6.4,5.5,710.9507133,189.3285833,0.2712917075,,,,,
66C30,66C,24/Sep/18,2B,6.4,5.5,725.354775,187.8217877,0.2765344701,,,,,
66B21,66B,24/Sep/18,Atm,,,441.7141509,2.051117589,0.3104288338,,,,,
66B22,66B,24/Sep/18,1A,6,5.4,1039.334333,138.1421634,0.2980457153,,,,,
66B23,66B,24/Sep/18,1B,6,5.4,1045.880089,138.8747435,0.2995578704,,,,,
66B24,66B,24/Sep/18,2A,6,5.2,1015.648158,136.3697165,0.2895143729,,,,,
66B25,66B,24/Sep/18,2B,6,5.2,798.0845924,78.89865766,0.2911785167,,,,,
14A21,14A,29/Sep/18,Atm,,,#N/A,#N/A,#N/A,,,,,
14A22,14A,29/Sep/18,1A,6,5.5,#N/A,#N/A,#N/A,,,,,
14A23,14A,29/Sep/18,1B,6,5.5,#N/A,#N/A,#N/A,,,,,
14A24,14A,29/Sep/18,2A,6,5.8,#N/A,#N/A,#N/A,,,,,
14A25,14A,29/Sep/18,2B,6,5.8,#N/A,#N/A,#N/A,,,,,
14B21,14B,29/Sep/18,Atm,,,#N/A,#N/A,#N/A,,,,,
14B22,14B,29/Sep/18,1A,5.9,5.2,#N/A,#N/A,#N/A,,,,,
14B23,14B,29/Sep/18,1B,5.9,5.2,#N/A,#N/A,#N/A,,,,,
14B24,14B,29/Sep/18,2A,5.9,5.4,#N/A,#N/A,#N/A,,,,,
14B25,14B,29/Sep/18,2B,5.9,5.4,#N/A,#N/A,#N/A,,,,,