Sample,TN (ug N/L),TP (mg P/L),Ammonia (mg NH3-N/L),SRP (mg P/L),Nitrate/Nitrite (ug N/L),,,,
AMC3,2.76E+03,0.51,0.01,0.42,411.02,,,,
BMC3,2.99E+03,0.32,0.01,0.23,361.72,,,,
BMC2,5.44E+03,0.38,0.24,0.32,1561.6,,,,
E56A-DEEP,1.09E+04,4.56,10.2,6.84,10.75,,,,
ACB2,1.50E+03,0.85,0.04,0.85,342.67,,,,
E14A,4.19E+03,1.41,2.86E-03,1.37,360.59,,,,
CFH,846.3,0.02,8.84E-03,0.02,80.74,,,,
ALA2,8.52E+03,0.89,0.36,0.88,1780.12,,,,
AMC1,2.51E+03,0.24,1.19E-03,0.19,357.9,,,,
CLH,2.15E+03,0.1,4.89E-03,0.03,114.48,,,,
A14B,1.93E+03,0.53,0.02,0.48,209.58,,,,
BLS,1.19E+03,0.02,0.07,9.43E-03,8.56,,,,
ALH,3116.96,0.03,2.28E-03,6.14E-03,1465.72,,,,
ALA1,3.30E+03,0.14,0.02,0.08,232.34,,,,
A57C,1.48E+03,0.49,8.53E-03,0.41,184.87,,,,
B14B,1.88E+03,0.51,3.85E-03,0.47,236.92,,,,
AFH,989.23,0.02,0.06,7.79E-03,3.13,,,,
AMC2,2.90E+03,0.47,0.17,0.28,4.8,,,,
BLA1,3.94E+03,0.19,0.04,0.1,181.21,,,,
BT1,1.63E+03,0.07,0.06,3.83E-03,2.48,,,,
C14B,2.00E+03,0.54,9.45E-03,0.48,128.31,,,,
BLH,1.87E+03,0.04,0.18,6.30E-03,0.84,,,,
CLS,1.30E+03,0.02,0.09,7.13E-03,3.59,,,,
ACB1,1.03E+03,0.02,0.09,0.02,22.65,,,,
B56A,1.73E+03,0.04,8.28E-03,0.02,196.48,,,,
B14A,4.10E+03,1.94,0.03,2.08,506.31,,,,
ALHM2,3.22E+03,0.43,0.03,0.35,321.93,,,,
AT1,1.64E+03,0.04,0.48,6.31E-03,23.85,,,,
ALHM1,2.61E+03,0.63,0.1,0.38,8.17,,,,
A56A,1.67E+03,0.06,0.13,0.04,0.33,,,,
ALS,1.15E+03,0.02,0.14,1.44E-03,6.47,,,,
A14A,4.80E+03,2.32,0.03,2.35,2177.72,,,,
BFH,1.04E+03,0.01,6.54E-03,1.34E-03,144.19,,,,
BLHM1,4.36E+03,2.84,2.6,2.72,591.52,,,,
E56A,1.77E+03,0.04,0.07,0.01,0.4,,,,
BLB1,1.05E+03,0.05,0.09,0.02,0.85,,,,
D14A,3.65E+03,1.14,0.03,1.01,125.92,,,,
B56C,1.46E+03,0.51,0.01,0.45,91.5,,,,
BMC1,3261.12,0.29,0.01,0.28,1548.56,,,,
D56A,1.72E+03,0.04,0.04,0.01,135.4,,,,
E14A-DEEP,4.92E+03,1.91,0.8,1.92,1612.16,,,,
AT2,751.85,0.02,0.03,7.35E-03,54.3,,,,
BT2,845.34,0.03,0.01,3.24E-03,50.93,,,,
BLHM2,2.66E+03,1.18,0.03,1.12,236,,,,
C14A,3.70E+03,1.69,0.02,1.66,293.09,,,,
BLA2,5.80E+03,0.29,0.21,0.14,17.3,,,,
BCB2,1.57E+03,0.65,4.43E-03,0.61,343.67,,,,
C56A,1.68E+03,0.04,0.13,0.01,1.5,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,